geo_id,name,total,hascomputer,dialup,broadband,nointernet,nocomputer
0500000US28151,"Washington County, Mississippi",18299,13858,31,11206,2621,4441
0500000US28111,"Perry County, Mississippi",4563,3552,33,2918,601,1011
0500000US28019,"Choctaw County, Mississippi",3164,2345,23,1765,557,819
0500000US28057,"Itawamba County, Mississippi",8706,7103,55,6005,1043,1603
0500000US28015,"Carroll County, Mississippi",3658,2813,29,2247,537,845
0500000US28043,"Grenada County, Mississippi",8224,6524,19,5183,1322,1700
0500000US28063,"Jefferson County, Mississippi",2530,1700,9,1503,188,830
0500000US28041,"Greene County, Mississippi",4172,3310,15,2757,538,862
0500000US28093,"Marshall County, Mississippi",13074,10429,186,7152,3091,2645
0500000US28119,"Quitman County, Mississippi",3055,2140,8,1581,551,915
0500000US28011,"Bolivar County, Mississippi",12159,8995,30,6983,1982,3164
0500000US28073,"Lamar County, Mississippi",22213,20259,113,17947,2199,1954
0500000US28081,"Lee County, Mississippi",32267,26950,122,23240,3588,5317
0500000US28113,"Pike County, Mississippi",14676,10570,31,7350,3189,4106
0500000US28135,"Tallahatchie County, Mississippi",4253,2915,33,2021,861,1338
0500000US28129,"Smith County, Mississippi",5872,4538,46,2849,1643,1334
0500000US28131,"Stone County, Mississippi",6135,4973,61,4224,688,1162
0500000US28149,"Warren County, Mississippi",18766,15177,146,13271,1760,3589
0500000US28023,"Clarke County, Mississippi",6258,4632,40,3500,1092,1626
0500000US28069,"Kemper County, Mississippi",3710,2450,13,1621,816,1260
0500000US28097,"Montgomery County, Mississippi",4619,3433,37,2839,557,1186
0500000US28105,"Oktibbeha County, Mississippi",17687,15345,124,12882,2339,2342
0500000US28109,"Pearl River County, Mississippi",20752,17914,125,14884,2905,2838
0500000US28079,"Leake County, Mississippi",8168,5925,15,4395,1515,2243
0500000US28103,"Noxubee County, Mississippi",4020,2820,5,2024,791,1200
0500000US28099,"Neshoba County, Mississippi",10699,8513,76,6535,1902,2186
0500000US28121,"Rankin County, Mississippi",55595,50047,146,44591,5310,5548
0500000US28137,"Tate County, Mississippi",10264,8396,87,6894,1415,1868
0500000US28077,"Lawrence County, Mississippi",4793,3379,45,2035,1299,1414
0500000US28107,"Panola County, Mississippi",12447,9298,150,6527,2621,3149
0500000US28161,"Yalobusha County, Mississippi",5161,3762,14,2613,1135,1399
0500000US28017,"Chickasaw County, Mississippi",6426,4533,8,3491,1034,1893
0500000US28029,"Copiah County, Mississippi",9623,6738,41,4198,2499,2885
0500000US28039,"George County, Mississippi",7362,5634,24,4609,1001,1728
0500000US28049,"Hinds County, Mississippi",88705,75265,190,64696,10379,13440
0500000US28101,"Newton County, Mississippi",8042,6338,24,4821,1493,1704
0500000US28145,"Union County, Mississippi",9951,7865,46,6387,1432,2086
0500000US28125,"Sharkey County, Mississippi",1755,1218,0,1081,137,537
0500000US28139,"Tippah County, Mississippi",7983,6256,36,4748,1472,1727
0500000US28035,"Forrest County, Mississippi",28033,23901,91,20146,3664,4132
0500000US28045,"Hancock County, Mississippi",19519,16805,24,14512,2269,2714
0500000US28071,"Lafayette County, Mississippi",19317,17490,31,15184,2275,1827
0500000US28055,"Issaquena County, Mississippi",484,296,0,238,58,188
0500000US28087,"Lowndes County, Mississippi",22742,19003,59,15655,3289,3739
0500000US28083,"Leflore County, Mississippi",10224,6209,44,4053,2112,4015
0500000US28157,"Wilkinson County, Mississippi",2898,1930,7,1373,550,968
0500000US28047,"Harrison County, Mississippi",78863,66891,223,60210,6458,11972
