GEO_ID,NAME,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpovertylevel
0500000US01001,"Autauga County, Alabama",43368,59.3,4.2,4555
0500000US01003,"Baldwin County, Alabama",167712,58.5,4.4,11826
0500000US01005,"Barbour County, Alabama",20948,46,9.5,3059
0500000US01007,"Bibb County, Alabama",18470,47.4,7.5,1607
0500000US01009,"Blount County, Alabama",45915,48.6,4.1,4094
0500000US01011,"Bullock County, Alabama",8413,52.7,11.1,1460
0500000US01013,"Butler County, Alabama",15970,53,6.7,2508
0500000US01015,"Calhoun County, Alabama",93023,57.1,8.8,11831
0500000US01017,"Chambers County, Alabama",27656,56.3,5,3064
0500000US01019,"Cherokee County, Alabama",21349,48.6,5.6,2165
0500000US01021,"Chilton County, Alabama",34516,54.6,7.1,4640
0500000US01023,"Choctaw County, Alabama",10800,44.1,10.6,1481
0500000US01025,"Clarke County, Alabama",19763,45.2,14.4,3561
0500000US01027,"Clay County, Alabama",10843,54.6,6.4,1256
0500000US01029,"Cleburne County, Alabama",11847,51.6,7.5,1298
0500000US01031,"Coffee County, Alabama",40510,59.8,5.9,3739
0500000US01033,"Colbert County, Alabama",44328,53.9,5.9,4695
0500000US01035,"Conecuh County, Alabama",10152,43.3,11.5,1400
0500000US01037,"Coosa County, Alabama",9227,47.3,5.8,701
0500000US01039,"Covington County, Alabama",30107,54.3,8.7,3579
0500000US01041,"Crenshaw County, Alabama",11106,54.1,5.8,1177
0500000US01043,"Cullman County, Alabama",65879,53.1,5.5,7453
0500000US01045,"Dale County, Alabama",39028,56.7,8.8,4847
0500000US01047,"Dallas County, Alabama",31400,51.6,11.8,6190
0500000US01049,"DeKalb County, Alabama",55947,53.6,4.5,8235
0500000US01051,"Elmore County, Alabama",65199,56,6.2,5396
0500000US01053,"Escambia County, Alabama",29981,47,13.5,4432
0500000US01055,"Etowah County, Alabama",83391,54.4,6.5,9010
0500000US01057,"Fayette County, Alabama",13491,51,7,1708
0500000US01059,"Franklin County, Alabama",24598,55.7,6.1,2845
0500000US01061,"Geneva County, Alabama",21376,51.8,8.6,3291
0500000US01063,"Greene County, Alabama",6661,39.3,15.8,1557
0500000US01065,"Hale County, Alabama",11857,49,11.9,1949
0500000US01067,"Henry County, Alabama",13980,52.7,6.7,1228
0500000US01069,"Houston County, Alabama",82833,57.7,7,9942
0500000US01071,"Jackson County, Alabama",42344,50.7,5.9,5933
0500000US01073,"Jefferson County, Alabama",525347,62.2,7.3,60275
0500000US01075,"Lamar County, Alabama",11160,52,8,1512
0500000US01077,"Lauderdale County, Alabama",76107,55.8,5.3,8327
0500000US01079,"Lawrence County, Alabama",26741,49.9,5.7,3171
0500000US01081,"Lee County, Alabama",128804,60.6,5.7,21527
0500000US01083,"Limestone County, Alabama",74268,57.4,6.9,6390
0500000US01085,"Lowndes County, Alabama",8097,48.3,11.5,1478
0500000US01087,"Macon County, Alabama",16058,51.7,12.1,2428
0500000US01089,"Madison County, Alabama",287944,64,5.8,25940
0500000US01091,"Marengo County, Alabama",15703,46.3,9.7,2326
0500000US01093,"Marion County, Alabama",24333,52.2,5.6,2667
0500000US01095,"Marshall County, Alabama",74128,55.5,5.1,10073
0500000US01097,"Mobile County, Alabama",327952,56.9,6.2,41102
0500000US01099,"Monroe County, Alabama",17132,45.4,17.5,3837
0500000US01101,"Montgomery County, Alabama",179544,61.6,7.6,23869
0500000US01103,"Morgan County, Alabama",94987,57.2,5.2,9117
0500000US01105,"Perry County, Alabama",7699,34.5,12.3,1973
0500000US01107,"Pickens County, Alabama",16837,47.4,10.6,2197
0500000US01109,"Pike County, Alabama",27676,55.4,8,5233
0500000US01111,"Randolph County, Alabama",18218,49.8,5,1988
0500000US01113,"Russell County, Alabama",45527,58.9,7.8,5900
0500000US01115,"St. Clair County, Alabama",69474,59.2,5.3,6638
0500000US01117,"Shelby County, Alabama",166663,66.2,4,10081
0500000US01119,"Sumter County, Alabama",10765,44.6,12.1,1877
0500000US01121,"Talladega County, Alabama",65443,52.2,8.8,8485
0500000US01123,"Tallapoosa County, Alabama",33023,51,10.4,4006
