GEO_ID,NAME,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpovertylevel
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",1563,32,7.7,47.9
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",2107,40.3,5.9,29.5
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",2426,47.8,9.5,41.8
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",1804,36.4,10.7,28.8
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",1319,41.1,11.6,54.3
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",2988,45,2.5,27
1400000US26003000200,"Census Tract 2, Alger County, Michigan",2375,54,10.6,58.3
1400000US26003000300,"Census Tract 3, Alger County, Michigan",2590,27.1,7,33.3
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",2536,63.5,1.2,29.2
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",5778,71.3,1.3,24.1
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",5889,74.7,2.6,52.4
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",3816,70.6,3.9,81.5
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",5800,62.7,2.6,32.4
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",3871,65.6,3.8,53
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",3946,66.2,1.7,48.4
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",2301,63.3,4,46.4
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",3774,66.9,4.5,39
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",4200,58.5,2,46.9
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",2576,50.6,4.2,20.8
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",2214,54.2,4.4,26.8
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",4768,55.4,10,49.5
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",5435,57.2,2.7,40.1
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",4313,53,2.8,31.6
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",3886,64,3.1,34.4
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",3668,64.7,3,57.5
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",4044,60.3,1.8,42.6
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",3983,57.5,2,32.3
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",3639,62.7,2.8,43.7
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",4165,54.4,4.5,25.8
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",1299,72.9,5,55.8
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",3177,72,2.6,61.4
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",1301,60.5,1.9,65.5
1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,-,-,-
1400000US26007000100,"Census Tract 1, Alpena County, Michigan",3731,50.2,6.6,35.8
1400000US26007000200,"Census Tract 2, Alpena County, Michigan",3396,57.9,4.9,41.7
1400000US26007000300,"Census Tract 3, Alpena County, Michigan",2905,59.4,3.5,79.2
1400000US26007000400,"Census Tract 4, Alpena County, Michigan",2319,60.4,7.6,53.7
1400000US26007000500,"Census Tract 5, Alpena County, Michigan",1524,63.3,9.3,65.4
1400000US26007000600,"Census Tract 6, Alpena County, Michigan",2784,46.3,4.6,24.9
1400000US26007000700,"Census Tract 7, Alpena County, Michigan",2462,57.4,8.9,74.5
1400000US26007000800,"Census Tract 8, Alpena County, Michigan",2424,60.5,5.1,42.6
1400000US26007000900,"Census Tract 9, Alpena County, Michigan",2348,54,5.2,64.2
1400000US26007990000,"Census Tract 9900, Alpena County, Michigan",0,-,-,-
1400000US26009960100,"Census Tract 9601, Antrim County, Michigan",2283,52.3,4,48.1
1400000US26009960200,"Census Tract 9602, Antrim County, Michigan",2710,58.1,6.4,36.2
1400000US26009960300,"Census Tract 9603, Antrim County, Michigan",2377,50.1,5.4,40.1
1400000US26009960400,"Census Tract 9604, Antrim County, Michigan",2631,46.9,3.2,44.6
1400000US26009960500,"Census Tract 9605, Antrim County, Michigan",2846,53.8,7.6,44.8
1400000US26009960600,"Census Tract 9606, Antrim County, Michigan",2774,52.3,3.9,67.9
1400000US26009960700,"Census Tract 9607, Antrim County, Michigan",3823,57.2,5.9,51.4
1400000US26009990000,"Census Tract 9900, Antrim County, Michigan",0,-,-,-
1400000US26011970100,"Census Tract 9701, Arenac County, Michigan",2016,48,11.7,46.3
1400000US26011970200,"Census Tract 9702, Arenac County, Michigan",2711,49.9,9,45
1400000US26011970300,"Census Tract 9703, Arenac County, Michigan",2166,55.6,7.4,49.8
